lat,lon,rank_abi,rank_aoi,rqi
35.449,-97.00061,2,2,1.0
35.44901,-97.02213,3,3,0.2
35.4249,-97.00061,5,4,0.2
35.50678,-96.95066,4,5,0.2
35.43393,-96.75351,2,1,1.0
35.46304,-96.77124,1,2,0.8
35.43391,-96.73585,5,3,0.8
35.43406,-96.77123,4,4,0.8
35.43416,-96.78892,3,5,1.0
35.43382,-96.68313,3,1,0.8
35.41934,-96.66541,4,2,0.8
35.43389,-96.64801,2,3,0.8
35.43378,-96.6652,1,4,1.0
35.49925,-96.60733,5,5,0.2
35.49366,-96.43233,1,1,0.8
35.48935,-96.52968,2,2,0.8
35.41318,-96.43833,3,3,0.2
35.4241,-96.42559,4,4,0.2
35.47868,-96.29968,1,1,0.8
35.49318,-96.2997,2,2,0.8
35.46722,-96.29968,3,3,0.2
35.53435,-96.29965,5,4,0.2
35.42816,-96.36292,4,5,0.2
35.43512,-96.19375,1,1,1.0
35.50762,-96.17643,2,2,0.8
35.46599,-96.17633,4,3,0.2
35.44374,-96.17634,3,4,0.2
35.42754,-96.09063,5,5,0.2
35.26731,-103.52516,1,1,0.8
35.33174,-103.36234,1,1,0.8
35.40388,-103.37069,2,2,0.8
35.41084,-103.36174,3,3,0.8
35.31505,-103.3423,4,4,0.8
35.32305,-103.35179,5,5,0.2
35.38817,-102.31905,2,1,0.8
